id,cd_acao_rdz,nm_empresa,setor_economico,subsetor,segmento,segmento_b3,nm_segmento_b3,cd_acao,tx_cnpj,vl_cnpj,created_at,updated_at
1,CSAN,COSAN,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",NM,,CSAN3,50.746.577/0001-15,50746577000115,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
3,ENAT,ENAUTA PART,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",NM,,ENAT3,11.669.021/0001-10,11669021000110,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
5,PETR,PETROBRAS,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",N2,,"PETR4, PETR3",33.000.167/0001-01,33000167000101,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
6,BRDT,PETROBRAS BR,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",NM,,BRDT3,34.274.233/0001-02,34274233000102,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
7,PRIO,PETRORIO,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",NM,,PRIO3,10.629.105/0001-68,10629105000168,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
8,UGPA,ULTRAPAR,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO",NM,,UGPA3,33.256.439/0001-39,33256439000139,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
9,LUPA,LUPATECH,"PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS","PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS",EQUIPAMENTOS E SERVIÇOS,NM,,LUPA3,89.463.822/0001-12,89463822000112,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
15,VALE,VALE,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,NM,,VALE3,33.592.510/0001-54,33592510000154,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
16,FESA,FERBASA,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,N1,,"FESA4, FESA3",15.141.799/0001-03,15141799000103,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
17,GGBR,GERDAU,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,N1,,"GGBR3, GGBR4",33.611.500/0001-19,33611500000119,2021-10-22 01:00:01.000000 UTC,2021-10-22 01:00:01.000000 UTC
