cnpj,nivel_atividade
10344590000123,ALTO
10360825000251,ALTO
11424319000160,ALTO
11576924000157,ALTO
11683108000142,ALTO
11715375000154,ALTO
11726880000102,ALTO
11976790000161,ALTO
11992680000193,ALTO
12022803000126,ALTO
12463636000159,ALTO
12476176000101,ALTO
12524432000180,ALTO
12693074000130,ALTO
12772086000150,ALTO
12901149000120,ALTO
13354621000115,ALTO
13361336000121,ALTO
13391697000110,ALTO
13491759000166,ALTO
14297738000177,ALTO
14617669000131,ALTO
14627814000165,ALTO
14724048000157,ALTO
15244337000111,ALTO
15333580000106,ALTO
15502301000190,ALTO
15543470000179,ALTO
15582037000142,ALTO
15750435000120,ALTO
15789665000101,ALTO
15914883000112,ALTO
16704833000173,ALTO
16710510000192,ALTO
16892315000120,ALTO
17133338000114,ALTO
17351005000161,ALTO
17615411000194,ALTO
17633119000102,ALTO
18096128000166,ALTO
18564675000129,ALTO
18667738000172,ALTO
18783733000105,ALTO
19493565002715,ALTO
19936016000139,ALTO
20068966000178,ALTO
20173792000103,ALTO
20365233000103,ALTO
20394840000193,ALTO
21222805000150,ALTO
21223788000507,ALTO
21230332000132,ALTO
21354790000183,ALTO
21825998000133,ALTO
22063144000120,ALTO
22069520001165,ALTO
22168847000112,ALTO
22736621000170,ALTO
22913508000113,ALTO
23178894000100,ALTO
23250448000169,ALTO
23725062001480,ALTO
24040339000180,ALTO
24133245000155,ALTO
24211931000105,ALTO
24448794000119,ALTO
25003463000138,ALTO
25362803000117,ALTO
26327259000135,ALTO
26351344000139,ALTO
26518276000150,ALTO
26529865000133,ALTO
27357492000123,ALTO
27415226000100,ALTO
27545977000140,ALTO
27638652000102,ALTO
27747332000190,ALTO
27928346000100,ALTO
28313203000157,ALTO
28436176000100,ALTO
28450143000114,ALTO
28712160000182,ALTO
28805013000157,ALTO
29000412000103,ALTO
29746995000116,ALTO
29751902000141,ALTO
30170736000179,ALTO
30186430000100,ALTO
30386091000106,ALTO
30553089000184,ALTO
30618187000152,ALTO
31655353000153,ALTO
31858918000108,ALTO
31982105000117,ALTO
32052012000156,ALTO
32095060000121,ALTO
32164195000100,ALTO
32286870000165,ALTO
32288356000169,ALTO
32623016000147,ALTO
32652999000140,ALTO
32679652000190,ALTO
33069053000118,ALTO
33074632000159,ALTO
33681501000130,ALTO
34048622000101,ALTO
34230979011302,ALTO
34566482000163,ALTO
34605649000158,ALTO
34636893000188,ALTO
34639858000112,ALTO
34683954000168,ALTO
34813182000131,ALTO
35104386000166,ALTO
35154412000160,ALTO
35353751000176,ALTO
35380810000103,ALTO
35593191000127,ALTO
35737608000188,ALTO
35763139000171,ALTO
35786993000153,ALTO
35805544000105,ALTO
35995003000197,ALTO
36012579000150,ALTO
36083747000106,ALTO
36249472000120,ALTO
36440159000174,ALTO
36803298000115,ALTO
36995633000124,ALTO
37013105000195,ALTO
37088466000605,ALTO
37159176000109,ALTO
37403958000133,ALTO
37522811000162,ALTO
37741760000160,ALTO
38098183000100,ALTO
38114770000138,ALTO
38125222000103,ALTO
38202997000135,ALTO
38327659000120,ALTO
38627052000165,ALTO
38649146000135,ALTO
38949711000180,ALTO
39154823000107,ALTO
39199258000102,ALTO
39247518000160,ALTO
39468942000134,ALTO
39486765000119,ALTO
39698539000100,ALTO
39752253000157,ALTO
39871768000176,ALTO
40028794000116,ALTO
40042818000191,ALTO
40197462000165,ALTO
40279026000135,ALTO
40497769000181,ALTO
40539386000129,ALTO
40618582000199,ALTO
40634977000185,ALTO
40739687000104,ALTO
40743473000101,ALTO
40769716000172,ALTO
40820118000180,ALTO
40849711000150,ALTO
41068802000110,ALTO
41085656000131,ALTO
41140950000107,ALTO
41195385000177,ALTO
41282883000157,ALTO
41499175000172,ALTO
41528719000187,ALTO
41590234000113,ALTO
41669399000185,ALTO
41674537000114,ALTO
41718338000160,ALTO
41746848000141,ALTO
41805229000180,ALTO
41951553000107,ALTO
42648860000186,ALTO
42716284000167,ALTO
42791177000101,ALTO
42878630000103,ALTO
42892223000150,ALTO
42930660000111,ALTO
43235616000154,ALTO
43471217000192,ALTO
43626724000158,ALTO
43655651000122,ALTO
43841842000189,ALTO
43915959000160,ALTO
43945192000111,ALTO
44032879000129,ALTO
44061863000144,ALTO
44104519000195,ALTO
44108378000189,ALTO
44136953000157,ALTO
44156502000181,ALTO
44161160000198,ALTO
44207972000127,ALTO
44427659000102,ALTO
44463441000103,ALTO
44556021000163,ALTO
44655269000181,ALTO
44677937000171,ALTO
44822492000176,ALTO
45066566000154,ALTO
45127377000144,ALTO
45214382000194,ALTO
45242914000105,ALTO
45359257000172,ALTO
45395105000125,ALTO
45453214000151,ALTO
45480686000101,ALTO
45503616000113,ALTO
45677309000159,ALTO
50447952000126,ALTO
51218147000193,ALTO
54712518000187,ALTO
59717553000102,ALTO
60398369000479,ALTO
60651809000105,ALTO
60770336000165,ALTO
61024352000171,ALTO
61409892000173,ALTO
61584140000149,ALTO
61882874000104,ALTO
64250004000100,ALTO
64816986000155,ALTO
71476527000135,ALTO
78021540000149,ALTO
78298205000192,ALTO
79267134000123,ALTO
84453844036298,ALTO
86550951000150,ALTO
87762563000103,ALTO
91612119000170,ALTO
91669747000192,ALTO
92665611000177,ALTO
96586003000128,ALTO
10303383000120,ALTO
10479722000124,ALTO
10608678000105,ALTO
10667002000192,ALTO
10678517000198,ALTO
10680857000153,ALTO
10734933000166,ALTO
10759961000138,ALTO
11465967000165,ALTO
11564368000107,ALTO
11712555000182,ALTO
11894194000132,ALTO
12104241000402,ALTO
12184221000146,ALTO
13037724000151,ALTO
13145274000110,ALTO
13199158000184,ALTO
13481309013928,ALTO
13860617000129,ALTO
14278463000124,ALTO
14506841000180,ALTO
14677615000161,ALTO
14807945000124,ALTO
14876090000193,ALTO
15066078000186,ALTO
15365616000133,ALTO
15534137000101,ALTO
15583661000164,ALTO
15825541000126,ALTO
16233389000155,ALTO
16516273000123,ALTO
16590234000176,ALTO
16846694000112,ALTO
16934930000152,ALTO
17158465000178,ALTO
17276769000130,ALTO
17634784000102,ALTO
17721097000124,ALTO
17776977000106,ALTO
17896668000161,ALTO
17995777000136,ALTO
18051121000128,ALTO
18136347000121,ALTO
18455454000112,ALTO
18663227000182,ALTO
18778330000178,ALTO
18860891000111,ALTO
18957557000180,ALTO
19223413000163,ALTO
19462162000170,ALTO
20998770000182,ALTO
21004275000173,ALTO
21060545000163,ALTO
21462652000118,ALTO
21841064000195,ALTO
