cnpj,empresa_porte
10515756000399,GRANDE
10851805000100,GRANDE
13788120000147,GRANDE
14110585000107,GRANDE
14776142000150,GRANDE
16614075000100,GRANDE
16676520000159,GRANDE
16811931000100,GRANDE
16989228000196,GRANDE
17154284000173,GRANDE
17161241000115,GRANDE
17162983003695,GRANDE
17184037000110,GRANDE
18593815000197,GRANDE
21495881000139,GRANDE
24230275000180,GRANDE
28127603000178,GRANDE
28195667000106,GRANDE
42278473000103,GRANDE
45424520003770,GRANDE
45987245000192,GRANDE
47508411000156,GRANDE
47960950000121,GRANDE
50564053000103,GRANDE
59285411000113,GRANDE
59320945001458,GRANDE
60701190228709,GRANDE
60872504000123,GRANDE
61585865000151,GRANDE
61585865082450,GRANDE
62672415000169,GRANDE
62771134010398,GRANDE
67010660000124,GRANDE
73471963000309,GRANDE
81243735000148,GRANDE
82639451008546,GRANDE
83475913000191,GRANDE
84683374000149,GRANDE
88610191000154,GRANDE
91983056000169,GRANDE
93828986000173,GRANDE
10215988000160,GRANDE
11565995000154,GRANDE
12181987000177,GRANDE
13270520000166,GRANDE
13574594000196,GRANDE
13785195014477,GRANDE
15139629000194,GRANDE
16404287000155,GRANDE
17131997000111,GRANDE
17167396000169,GRANDE
17602941000106,GRANDE
19378769001067,GRANDE
21240146000184,GRANDE
21255567000189,GRANDE
29780061000109,GRANDE
29950060000157,GRANDE
29978814000187,GRANDE
31698759000466,GRANDE
33256439000139,GRANDE
33611500000119,GRANDE
33958695000178,GRANDE
34169557000172,GRANDE
36604302000116,GRANDE
39437729000165,GRANDE
40432544015764,GRANDE
42278291000124,GRANDE
46471443000161,GRANDE
51466860000156,GRANDE
52548435000179,GRANDE
59789545000171,GRANDE
60701190203552,GRANDE
60746948000112,GRANDE
60894730000105,GRANDE
61012019160697,GRANDE
82636986000155,GRANDE
83616185001677,GRANDE
88610126000129,GRANDE
88611835000129,GRANDE
91495549006190,GRANDE
92702067000196,GRANDE
11754859000102,GRANDE
11992680000193,GRANDE
12528708000107,GRANDE
12648266000124,GRANDE
16614075001336,GRANDE
16922038000151,GRANDE
18288828000152,GRANDE
18483666000103,GRANDE
22685341001748,GRANDE
26363107000198,GRANDE
