cnpj,saude_tributaria
10520467000116,AMARELA
12802504000104,AMARELA
34274233000102,AMARELA
36542025000164,AMARELA
58119199000151,AMARELA
60476884000187,AMARELA
61092037000181,AMARELA
62144175000120,AMARELA
69095248000180,AMARELA
13092452000192,AMARELA
17291221000169,AMARELA
19719790000198,AMARELA
59717553000102,AMARELA
60770336000165,AMARELA
61409892000173,AMARELA
61856571000117,AMARELA
10760260000119,AMARELA
10954040000126,AMARELA
25532295000178,AMARELA
60537263000166,AMARELA
61054698000112,AMARELA
61065751000180,AMARELA
61156931000178,AMARELA
67620377000114,AMARELA
73178600000118,AMARELA
90076886000140,AMARELA
96208046000170,AMARELA
97837181000147,AMARELA
10908418000155,AMARELA
15144017000190,AMARELA
26147218000167,AMARELA
49263189000102,AMARELA
53113791000122,AMARELA
61079117000105,AMARELA
68463702000145,AMARELA
90400888000142,AMARELA
97074918000117,AMARELA
10215988000160,AMARELA
13295887000134,AMARELA
16404287000155,AMARELA
16590234000176,AMARELA
27289462000127,AMARELA
33453598000123,AMARELA
34169557000172,AMARELA
44480283003883,AMARELA
52548435000179,AMARELA
57702672000166,AMARELA
82901000000127,AMARELA
86444817000174,AMARELA
11043301000119,AMARELA
11721921000160,AMARELA
12181987000177,AMARELA
15710607000132,AMARELA
21016518000193,AMARELA
21314559000166,AMARELA
42278291000124,AMARELA
47960950000121,AMARELA
54960554000160,AMARELA
60872504000123,AMARELA
66700295000117,AMARELA
10354759000126,AMARELA
10851805000100,AMARELA
12341170000119,AMARELA
15101405000193,AMARELA
16614075000100,AMARELA
17161241000115,AMARELA
18829340000195,AMARELA
28238507000105,AMARELA
43776517000180,AMARELA
45987245000192,AMARELA
47508411000156,AMARELA
53190641000112,AMARELA
60840055000131,AMARELA
81243735000148,AMARELA
84683374000149,AMARELA
19063751000185,AMARELA
23961939000118,AMARELA
10276568000940,CINZA
10285590000108,CINZA
10308655000185,CINZA
10338320000100,CINZA
10379203000194,CINZA
10394003000100,CINZA
10408075000160,CINZA
10452117000240,CINZA
10452614000168,CINZA
10453886000182,CINZA
10523758000168,CINZA
10540697000147,CINZA
10602138000114,CINZA
10706814000108,CINZA
10732446000164,CINZA
10750878000106,CINZA
10813419000116,CINZA
10911225000153,CINZA
10926032000176,CINZA
10935198000159,CINZA
11009409000276,CINZA
11009939000214,CINZA
11050354000167,CINZA
11144384000132,CINZA
11288242000149,CINZA
11310197000181,CINZA
11315820000199,CINZA
11478724000161,CINZA
11531740000170,CINZA
11627471000140,CINZA
11651131000155,CINZA
11676477000108,CINZA
11688342000162,CINZA
11766757000107,CINZA
11775800000109,CINZA
11792237000179,CINZA
11803694000111,CINZA
11820017000292,CINZA
11845364000199,CINZA
11889598000138,CINZA
11890033000170,CINZA
11926916000274,CINZA
11979780000180,CINZA
11982044000180,CINZA
11984773000176,CINZA
11992887000168,CINZA
11993200000290,CINZA
12108897000150,CINZA
12196681000194,CINZA
12448485000160,CINZA
12472753000189,CINZA
12538464000135,CINZA
12592893000190,CINZA
12634115000117,CINZA
12673072000189,CINZA
12693130000136,CINZA
12699268000142,CINZA
12816368000616,CINZA
12907122000145,CINZA
12919016000181,CINZA
13022810000190,CINZA
13091424000150,CINZA
13124621000129,CINZA
13169476000100,CINZA
13199680000166,CINZA
13233885000110,CINZA
13235847000105,CINZA
13350976000136,CINZA
13550229000141,CINZA
13623597000172,CINZA
13715339000469,CINZA
13735199000148,CINZA
13783221013103,CINZA
13785387000180,CINZA
13842090000100,CINZA
14044940000197,CINZA
14113374000128,CINZA
14166812000116,CINZA
14263220000112,CINZA
14349067000140,CINZA
14512882000189,CINZA
14545544000143,CINZA
14578242000171,CINZA
14692918000153,CINZA
14709739000181,CINZA
14737862000106,CINZA
14756240000125,CINZA
14840253000188,CINZA
14881055000162,CINZA
14889999000186,CINZA
14926981000107,CINZA
14959494000140,CINZA
14962264000130,CINZA
14991849000189,CINZA
15140229000107,CINZA
15301257000150,CINZA
15424977000103,CINZA
15436006000183,CINZA
15489013000143,CINZA
15505900000168,CINZA
15572119000106,CINZA
15575652000121,CINZA
15653219000167,CINZA
15666487000113,CINZA
15710850000150,CINZA
15915557000120,CINZA
16551660000109,CINZA
16575744000174,CINZA
16599253000163,CINZA
16609379000171,CINZA
16629693001007,CINZA
16703602000145,CINZA
16751379000101,CINZA
16751936000194,CINZA
16767988000159,CINZA
16791045000161,CINZA
16791578000143,CINZA
16884333000160,CINZA
16919018000121,CINZA
16993704000142,CINZA
17100550000185,CINZA
17167377000132,CINZA
17193806000146,CINZA
17215821000148,CINZA
17285026000126,CINZA
17292515000105,CINZA
17337310000107,CINZA
17344597000194,CINZA
17442790000168,CINZA
17446895000195,CINZA
17519869000140,CINZA
17577763000100,CINZA
17590798000171,CINZA
17665516000158,CINZA
17711611000140,CINZA
17722949000106,CINZA
17729004000108,CINZA
17820015000107,CINZA
17903002000193,CINZA
17930984000102,CINZA
18020707000125,CINZA
18033402000158,CINZA
18085648000769,CINZA
18089207000140,CINZA
18174270000184,CINZA
18178150000155,CINZA
18252246000116,CINZA
18315764000131,CINZA
18316680000112,CINZA
18321180000179,CINZA
18338684000100,CINZA
18588241000169,CINZA
18593445000198,CINZA
18599420000100,CINZA
18736053000130,CINZA
18782694000121,CINZA
18873376000176,CINZA
18934426000188,CINZA
19034964000189,CINZA
19152300000114,CINZA
19158160000191,CINZA
19160148000111,CINZA
19191730000145,CINZA
19228183000125,CINZA
19267316000172,CINZA
19282344000169,CINZA
19421424000158,CINZA
19470683000179,CINZA
19546281000100,CINZA
19556856000176,CINZA
19598395000102,CINZA
19608232000155,CINZA
19619928000187,CINZA
19633710000187,CINZA
19646550000100,CINZA
19780020000150,CINZA
19784759000130,CINZA
19796586000170,CINZA
19860088000140,CINZA
19860102000105,CINZA
19889248000183,CINZA
19895411000110,CINZA
20040886000104,CINZA
20131858000100,CINZA
20181992000108,CINZA
20190092000127,CINZA
20222771000130,CINZA
20247322000147,CINZA
20262437000100,CINZA
20347188000156,CINZA
20387798000183,CINZA
20403792000152,CINZA
20416159000107,CINZA
20449811000181,CINZA
20480254000161,CINZA
20552597000194,CINZA
20603820000185,CINZA
20742125000102,CINZA
20755990000185,CINZA
20777943000132,CINZA
20806500000122,CINZA
20872246000160,CINZA
20934984000195,CINZA
20941625000165,CINZA
21016890000108,CINZA
21165619000126,CINZA
21165888000192,CINZA
21209500000108,CINZA
21457092000103,CINZA
21503641000139,CINZA
21532158000344,CINZA
21619776000164,CINZA
21656561000113,CINZA
21700753000180,CINZA
21755141000194,CINZA
21761581000154,CINZA
21797670000150,CINZA
21799798000153,CINZA
21806168000169,CINZA
21882863000100,CINZA
21883618000117,CINZA
21885096000192,CINZA
21957696000119,CINZA
21979382000117,CINZA
22000009000135,CINZA
22041828000120,CINZA
22168825000152,CINZA
22168922000145,CINZA
22203096000128,CINZA
22213082000195,CINZA
22240048000100,CINZA
22267511000107,CINZA
22353693000139,CINZA
22383107000441,CINZA
22465266000142,CINZA
22485716000169,CINZA
22526659000119,CINZA
22531817000129,CINZA
22568366000102,CINZA
22609057000125,CINZA
22634221000154,CINZA
22638104000169,CINZA
22670615001210,CINZA
22761107000195,CINZA
22765718000101,CINZA
22851488000101,CINZA
22863350000114,CINZA
22906458000147,CINZA
23056550000128,CINZA
23153659000183,CINZA
23249157000150,CINZA
23288453000160,CINZA
23305859000104,CINZA
23309137000128,CINZA
23365438000179,CINZA
23426334000127,CINZA
23473489000114,CINZA
23475988000140,CINZA
23485712000143,CINZA
23506854000140,CINZA
23533692000139,CINZA
23553058000168,CINZA
23557786000148,CINZA
23589509000117,CINZA
23591961000113,CINZA
23648309000198,CINZA
23715221000141,CINZA
23843542000121,CINZA
23853702000113,CINZA
23862892000135,CINZA
23894167000149,CINZA
23943196000153,CINZA
23945101000130,CINZA
23968824000155,CINZA
23977218000104,CINZA
24039733000106,CINZA
24070185000179,CINZA
24076256000140,CINZA
24081040000173,CINZA
24143859000118,CINZA
24171048000120,CINZA
24180971000200,CINZA
24300302000143,CINZA
24310374000171,CINZA
24365861000131,CINZA
24406090000183,CINZA
24442856000185,CINZA
24501572000112,CINZA
24511821000150,CINZA
24547279000196,CINZA
24582675000154,CINZA
24599077000198,CINZA
24615804000163,CINZA
24641977000156,CINZA
24647060000169,CINZA
24693338000134,CINZA
24714782000199,CINZA
24734022000143,CINZA
24740616000167,CINZA
24796180000128,CINZA
24828247000169,CINZA
24928930000178,CINZA
24935116000180,CINZA
24943552000100,CINZA
24949852000198,CINZA
24969346000160,CINZA
24990777000109,CINZA
24991795000105,CINZA
24996042000192,CINZA
24996645000194,CINZA
25086234000124,CINZA
25095946000100,CINZA
25119534000162,CINZA
25139012000122,CINZA
25187752000134,CINZA
25211431000128,CINZA
25241600000172,CINZA
25302613000104,CINZA
25425527000199,CINZA
26160250000182,CINZA
26161864000189,CINZA
26167931000172,CINZA
26172225000119,CINZA
26206663000150,CINZA
26226883000146,CINZA
26279946000122,CINZA
26325996000107,CINZA
26345987000170,CINZA
26437565000124,CINZA
26462693000128,CINZA
26511145000140,CINZA
26569444000136,CINZA
26592110000183,CINZA
26595380000148,CINZA
26613127000170,CINZA
26675941000119,CINZA
26749654000106,CINZA
26771275000112,CINZA
26837927000174,CINZA
26849177000150,CINZA
26857145000105,CINZA
26888696000128,CINZA
26919141000104,CINZA
26951409000187,CINZA
26992371000190,CINZA
26997435000146,CINZA
27048148000152,CINZA
27078329000121,CINZA
27079485000107,CINZA
27091017000158,CINZA
27184980000186,CINZA
27188615000140,CINZA
27211830000114,CINZA
27314894000140,CINZA
27329686000115,CINZA
27364639000102,CINZA
27373811000194,CINZA
27400207000100,CINZA
27482598000159,CINZA
27507915000144,CINZA
27512045000100,CINZA
27516078000110,CINZA
27542165000141,CINZA
27619693000151,CINZA
27651179000101,CINZA
27701786000120,CINZA
27750570000155,CINZA
